flipper_length_standardized,bill_length_standardized
-0.1897731141,-0.6413608235
-1.328411799,-1.14491714
-0.9217551258,-1.51792182
-0.9217551258,-1.107616673
-1.409743134,-0.846513397
-0.6777611219,-0.6413608235
-0.2711044488,-1.23816831
-0.433767118,-0.9024640989
1.192859575,0.7201062558
1.355522244,0.6455053199
1.355522244,0.9625592973
1.762178917,0.4403527463
1.11152824,1.205012339
0.7862029014,0.123298769
-0.2711044488,0.6268550859
-0.2711044488,0.7574067237
-0.1084417795,1.783169592
-0.7590924565,0.7760569576